sample,total_count,population,count,percentage
sample00013,109488,cd4_t_cell,31697,28.95020459
sample00013,109488,cd8_t_cell,19994,18.26136198
sample00013,109488,monocyte,22073,20.16020020
sample00013,109488,nk_cell,25043,22.87282625
sample00014,92904,b_cell,6113,6.57991045
sample00014,92904,cd4_t_cell,27223,29.30229054
sample00014,92904,cd8_t_cell,25851,27.82549729
sample00014,92904,monocyte,24463,26.33148196
sample00014,92904,nk_cell,9254,9.96081977
sample00015,102691,b_cell,8261,8.04452192
sample00015,102691,cd4_t_cell,36217,35.26793974
sample00015,102691,cd8_t_cell,21523,20.95899349
sample00015,102691,monocyte,20937,20.38834951
sample00015,102691,nk_cell,15753,15.34019534
sample00016,95824,b_cell,7433,7.75692937
sample00016,95824,cd4_t_cell,33881,35.35753047
sample00016,95824,cd8_t_cell,22881,23.87815161
sample00016,95824,monocyte,22197,23.16434296
sample00016,95824,nk_cell,9432,9.84304558
sample00017,98639,b_cell,3226,3.27051166
sample00017,98639,cd4_t_cell,36405,36.90730847
sample00017,98639,cd8_t_cell,20404,20.68553006
sample00017,98639,monocyte,17865,18.11149748
sample00017,98639,nk_cell,20739,21.02515232
sample00018,101123,b_cell,3578,3.53826528
sample00018,101123,cd4_t_cell,32675,32.31213473
sample00018,101123,cd8_t_cell,29520,29.19217191
sample00018,101123,monocyte,19813,19.59297094
sample00018,101123,nk_cell,15537,15.36445715
sample00019,97405,b_cell,8022,8.23571685
sample00019,97405,cd4_t_cell,30759,31.57846106
sample00019,97405,cd8_t_cell,27175,27.89897849
sample00019,97405,monocyte,20466,21.01124172
sample00019,97405,nk_cell,10983,11.27560187
sample00020,97228,b_cell,6382,6.56395277
sample00020,97228,cd4_t_cell,32731,33.66417081
sample00020,97228,cd8_t_cell,17469,17.96704653
sample00020,97228,monocyte,22590,23.23404781
sample00020,97228,nk_cell,18056,18.57078208
sample00021,100750,b_cell,10337,10.26004963
sample00021,100750,cd4_t_cell,31535,31.30024814
sample00021,100750,cd8_t_cell,19144,19.00148883
sample00021,100750,monocyte,26971,26.77022333
sample00021,100750,nk_cell,12763,12.66799007
sample00022,92670,b_cell,9563,10.31941297
sample00022,92670,cd4_t_cell,32814,35.40951764
sample00022,92670,cd8_t_cell,22424,24.19769073
sample00022,92670,monocyte,16304,17.59361174
sample00022,92670,nk_cell,11565,12.47976691
sample00023,104960,b_cell,6924,6.59679878
sample00023,104960,cd4_t_cell,29844,28.43368902
sample00023,104960,cd8_t_cell,28080,26.75304878
sample00023,104960,monocyte,24320,23.17073171
sample00023,104960,nk_cell,15792,15.04573171
sample00024,99969,b_cell,7552,7.55434185
sample00024,99969,cd4_t_cell,35270,35.28093709
sample00024,99969,cd8_t_cell,27821,27.82962718
sample00024,99969,monocyte,9645,9.64799088
sample00024,99969,nk_cell,19681,19.68710300
sample00025,95534,b_cell,11714,12.26160320
sample00025,95534,cd4_t_cell,30323,31.74053217
sample00025,95534,cd8_t_cell,21407,22.40772919
sample00025,95534,monocyte,11789,12.34010928
sample00025,95534,nk_cell,20301,21.25002617
sample00026,95777,b_cell,7936,8.28591415
sample00026,95777,cd4_t_cell,34545,36.06815833
sample00026,95777,cd8_t_cell,23786,24.83477244
sample00026,95777,monocyte,15581,16.26799754
sample00026,95777,nk_cell,13929,14.54315754
sample00027,93164,b_cell,8850,9.49937744
sample00027,93164,cd4_t_cell,26079,27.99257224
sample00027,93164,cd8_t_cell,21268,22.82856039
sample00027,93164,monocyte,18776,20.15370744
sample00027,93164,nk_cell,18191,19.52578249
sample00028,106062,b_cell,11386,10.73523034
sample00028,106062,cd4_t_cell,28400,26.77679093
sample00028,106062,cd8_t_cell,28155,26.54579397
sample00028,106062,monocyte,29251,27.57915182
sample00028,106062,nk_cell,8870,8.36303294
sample00029,97156,b_cell,5606,5.77010169
sample00029,97156,cd4_t_cell,31305,32.22137593
sample00029,97156,cd8_t_cell,28476,29.30956400
sample00029,97156,monocyte,15909,16.37469636
sample00029,97156,nk_cell,15860,16.32426201
sample00030,93972,b_cell,6413,6.82437322
sample00030,93972,cd4_t_cell,20437,21.74796748
sample00030,93972,cd8_t_cell,25167,26.78138169
sample00030,93972,monocyte,19638,20.89771421
sample00030,93972,nk_cell,22317,23.74856340
sample00031,106625,b_cell,7007,6.57162954
sample00031,106625,cd4_t_cell,31653,29.68628370
sample00031,106625,cd8_t_cell,30482,28.58804220
sample00031,106625,monocyte,23316,21.86729191
sample00031,106625,nk_cell,14167,13.28675264
sample00032,101357,b_cell,11118,10.96914865
sample00032,101357,cd4_t_cell,32582,32.14578174
sample00032,101357,cd8_t_cell,19704,19.44019653
sample00032,101357,monocyte,17350,17.11771264
sample00032,101357,nk_cell,20603,20.32716043
sample00033,93131,b_cell,9054,9.72178974
sample00033,93131,cd4_t_cell,24897,26.73331114
sample00033,93131,cd8_t_cell,31679,34.01552652
sample00033,93131,monocyte,11932,12.81206043
sample00033,93131,nk_cell,15569,16.71731217
sample00034,103870,b_cell,8350,8.03889477
sample00034,103870,cd4_t_cell,36716,35.34803119
sample00034,103870,cd8_t_cell,26526,25.53769134
sample00034,103870,monocyte,21284,20.49099836
sample00034,103870,nk_cell,10994,10.58438433
sample00035,94622,b_cell,5327,5.62976898
sample00035,94622,cd4_t_cell,38264,40.43879859
sample00035,94622,cd8_t_cell,28094,29.69076959
sample00035,94622,monocyte,15688,16.57965378
sample00035,94622,nk_cell,7249,7.66100907
sample00036,103532,b_cell,8635,8.34041649
sample00036,103532,cd4_t_cell,31787,30.70258471
sample00036,103532,cd8_t_cell,29458,28.45303867
sample00036,103532,monocyte,17154,16.56879033
sample00036,103532,nk_cell,16498,15.93516980
sample00037,92368,b_cell,8915,9.65161095
sample00037,92368,cd4_t_cell,24564,26.59362550
sample00037,92368,cd8_t_cell,21012,22.74813788
sample00037,92368,monocyte,23510,25.45253768
sample00037,92368,nk_cell,14367,15.55408800
sample00038,98897,b_cell,12062,12.19652770
sample00038,98897,cd4_t_cell,33109,33.47826527
sample00038,98897,cd8_t_cell,18923,19.13404856
sample00038,98897,monocyte,20427,20.65482269
sample00038,98897,nk_cell,14376,14.53633578
sample00039,107756,b_cell,14634,13.58068228
sample00039,107756,cd4_t_cell,35553,32.99398641
sample00039,107756,cd8_t_cell,26888,24.95267085
sample00039,107756,monocyte,18809,17.45517651
sample00039,107756,nk_cell,11872,11.01748395
sample00040,105943,b_cell,11007,10.38954910
sample00040,105943,cd4_t_cell,25872,24.42067904
sample00040,105943,cd8_t_cell,25723,24.28003738
sample00040,105943,monocyte,25016,23.61269739
sample00040,105943,nk_cell,18325,17.29703709
sample00041,91358,b_cell,11583,12.67869262
sample00041,91358,cd4_t_cell,22586,24.72252020
sample00041,91358,cd8_t_cell,23517,25.74158804
sample00041,91358,monocyte,19241,21.06110029
sample00041,91358,nk_cell,14431,15.79609886
sample00042,111631,b_cell,12118,10.85540755
sample00042,111631,cd4_t_cell,41403,37.08915982
sample00042,111631,cd8_t_cell,22342,20.01415377
sample00042,111631,monocyte,17108,15.32549202
sample00042,111631,nk_cell,18660,16.71578683
sample00043,104827,b_cell,4750,4.53127534
sample00043,104827,cd4_t_cell,36392,34.71624677
sample00043,104827,cd8_t_cell,23553,22.46844801
sample00043,104827,monocyte,24363,23.24114970
sample00043,104827,nk_cell,15769,15.04288017
sample00044,106034,b_cell,15793,14.89427919
sample00044,106034,cd4_t_cell,37025,34.91804516
sample00044,106034,cd8_t_cell,25351,23.90836901
sample00044,106034,monocyte,13893,13.10240112
sample00044,106034,nk_cell,13972,13.17690552
sample00045,104473,b_cell,13792,13.20149704
sample00045,104473,cd4_t_cell,33714,32.27053880
sample00045,104473,cd8_t_cell,26314,25.18736899
sample00045,104473,monocyte,13548,12.96794387
sample00045,104473,nk_cell,17105,16.37265131
sample00046,105731,b_cell,7726,7.30722305
sample00046,105731,cd4_t_cell,29221,27.63711683
sample00046,105731,cd8_t_cell,25456,24.07619336
sample00046,105731,monocyte,25427,24.04876526
sample00046,105731,nk_cell,17901,16.93070150
sample00047,93338,b_cell,8249,8.83777240
sample00047,93338,cd4_t_cell,37597,40.28048598
sample00047,93338,cd8_t_cell,20566,22.03389831
sample00047,93338,monocyte,15869,17.00164992
sample00047,93338,nk_cell,11057,11.84619340
sample00048,105178,b_cell,13648,12.97609766
sample00048,105178,cd4_t_cell,31150,29.61645972
sample00048,105178,cd8_t_cell,32565,30.96179809
sample00048,105178,monocyte,17485,16.62419898
sample00048,105178,nk_cell,10330,9.82144555
sample00049,104513,b_cell,11419,10.92591352
sample00049,104513,cd4_t_cell,29883,28.59261527
sample00049,104513,cd8_t_cell,20811,19.91235540
sample00049,104513,monocyte,20669,19.77648714
sample00049,104513,nk_cell,21731,20.79262867
sample00050,106504,b_cell,14113,13.25114550
sample00050,106504,cd4_t_cell,32832,30.82701119
sample00050,106504,cd8_t_cell,32701,30.70401112
sample00050,106504,monocyte,12899,12.11128221
sample00050,106504,nk_cell,13959,13.10654999
sample00051,88918,b_cell,9765,10.98202839
sample00051,88918,cd4_t_cell,25644,28.84005488
sample00051,88918,cd8_t_cell,21622,24.31678625
sample00051,88918,monocyte,19209,21.60305000
sample00051,88918,nk_cell,12678,14.25808048
sample00052,95942,b_cell,11122,11.59242042
sample00052,95942,cd4_t_cell,21886,22.81169873
sample00052,95942,cd8_t_cell,30718,32.01726043
sample00052,95942,monocyte,20577,21.44733276
sample00052,95942,nk_cell,11639,12.13128765
sample00053,99135,b_cell,11822,11.92515257
sample00053,99135,cd4_t_cell,30587,30.85388611
sample00053,99135,cd8_t_cell,26750,26.98340647
sample00053,99135,monocyte,22544,22.74070712
sample00053,99135,nk_cell,7432,7.49684773
sample00054,99486,b_cell,7782,7.82220614
sample00054,99486,cd4_t_cell,26399,26.53539191
sample00054,99486,cd8_t_cell,26235,26.37054460
sample00054,99486,monocyte,20742,20.84916471
sample00054,99486,nk_cell,18328,18.42269264
sample00055,101344,b_cell,11645,11.49056678
sample00055,101344,cd4_t_cell,34912,34.44900537
sample00055,101344,cd8_t_cell,23172,22.86469845
sample00055,101344,monocyte,16223,16.00785444
sample00055,101344,nk_cell,15392,15.18787496
sample00056,92361,b_cell,11022,11.93360834
sample00056,92361,cd4_t_cell,24674,26.71473890
sample00056,92361,cd8_t_cell,18780,20.33325754
sample00056,92361,monocyte,20094,21.75593595
sample00056,92361,nk_cell,17791,19.26245926
sample00057,111127,b_cell,15157,13.63934957
sample00057,111127,cd4_t_cell,40906,36.81013615
sample00057,111127,cd8_t_cell,19991,17.98932753
sample00057,111127,monocyte,23819,21.43403493
sample00057,111127,nk_cell,11254,10.12715182
sample00058,93201,b_cell,10510,11.27670304
sample00058,93201,cd4_t_cell,28561,30.64452098
sample00058,93201,cd8_t_cell,20389,21.87637472
sample00058,93201,monocyte,17442,18.71439148
sample00058,93201,nk_cell,16299,17.48800979
sample00059,108944,b_cell,17545,16.10460420
sample00059,108944,cd4_t_cell,33022,30.31098546
sample00059,108944,cd8_t_cell,24675,22.64925099
sample00059,108944,monocyte,19458,17.86055221
sample00059,108944,nk_cell,14244,13.07460714
sample00060,103534,b_cell,11035,10.65833446
sample00060,103534,cd4_t_cell,38817,37.49203160
sample00060,103534,cd8_t_cell,21406,20.67533371
sample00060,103534,monocyte,17717,17.11225298
sample00060,103534,nk_cell,14559,14.06204725
sample00061,111970,b_cell,4508,4.02607841
sample00061,111970,cd4_t_cell,38281,34.18862195
sample00061,111970,cd8_t_cell,34867,31.13959096
sample00061,111970,monocyte,18301,16.34455658
sample00061,111970,nk_cell,16013,14.30115209
sample00062,95286,b_cell,10066,10.56398631
sample00062,95286,cd4_t_cell,21554,22.62032198
sample00062,95286,cd8_t_cell,20104,21.09858741
sample00062,95286,monocyte,26057,27.34609491
sample00062,95286,nk_cell,17505,18.37100938
sample00063,93940,b_cell,7236,7.70278901
sample00063,93940,cd4_t_cell,29335,31.22737918
sample00063,93940,cd8_t_cell,32409,34.49968065
sample00063,93940,monocyte,14501,15.43644880
sample00063,93940,nk_cell,10459,11.13370236
sample00064,109577,b_cell,10199,9.30761017
sample00064,109577,cd4_t_cell,33535,30.60405012
sample00064,109577,cd8_t_cell,24842,22.67081596
sample00064,109577,monocyte,24701,22.54213932
sample00064,109577,nk_cell,16300,14.87538443
sample00065,92559,b_cell,8425,9.10230232
sample00065,92559,cd4_t_cell,24750,26.73970116
sample00065,92559,cd8_t_cell,28293,30.56752990
sample00065,92559,monocyte,18995,20.52204540
sample00065,92559,nk_cell,12096,13.06842122
sample00066,107284,b_cell,8052,7.50531300
sample00066,107284,cd4_t_cell,37350,34.81413818
sample00066,107284,cd8_t_cell,35323,32.92476045
sample00066,107284,monocyte,12632,11.77435592
sample00066,107284,nk_cell,13927,12.98143246
sample00067,107589,b_cell,11874,11.03644425
sample00067,107589,cd4_t_cell,29460,27.38198143
sample00067,107589,cd8_t_cell,24116,22.41493089
sample00067,107589,monocyte,20737,19.27427525
sample00067,107589,nk_cell,21402,19.89236818
sample00068,110245,b_cell,10501,9.52514853
sample00068,110245,cd4_t_cell,35458,32.16290988
sample00068,110245,cd8_t_cell,33801,30.65989387
sample00068,110245,monocyte,23088,20.94244637
sample00068,110245,nk_cell,7397,6.70960134
sample00069,110094,b_cell,11742,10.66543136
sample00069,110094,cd4_t_cell,35087,31.87003833
sample00069,110094,cd8_t_cell,30825,27.99880102
sample00069,110094,monocyte,19536,17.74483623
sample00069,110094,nk_cell,12904,11.72089306
sample00070,97532,b_cell,9131,9.36205553
sample00070,97532,cd4_t_cell,31460,32.25608006
sample00070,97532,cd8_t_cell,21272,21.81027765
sample00070,97532,monocyte,19761,20.26104253
sample00070,97532,nk_cell,15908,16.31054423
sample00071,96197,b_cell,5029,5.22781376
sample00071,96197,cd4_t_cell,36013,37.43671840
sample00071,96197,cd8_t_cell,19587,20.36134183
sample00071,96197,monocyte,15972,16.60342838
sample00071,96197,nk_cell,19596,20.37069763
sample00072,93613,b_cell,8730,9.32562785
sample00072,93613,cd4_t_cell,22481,24.01482700
sample00072,93613,cd8_t_cell,26500,28.30803414
sample00072,93613,monocyte,19301,20.61786290
sample00072,93613,nk_cell,16601,17.73364810
sample00073,104898,b_cell,10426,9.93917901
sample00073,104898,cd4_t_cell,26510,25.27216915
sample00073,104898,cd8_t_cell,28944,27.59251845
sample00073,104898,monocyte,19567,18.65335850
sample00073,104898,nk_cell,19451,18.54277489
sample00074,92232,b_cell,13166,14.27487206
sample00074,92232,cd4_t_cell,33699,36.53721051
sample00074,92232,cd8_t_cell,18608,20.17521034
sample00074,92232,monocyte,11200,12.14329083
sample00074,92232,nk_cell,15559,16.86941625
sample00075,104711,b_cell,14480,13.82853759
sample00075,104711,cd4_t_cell,33149,31.65760999
sample00075,104711,cd8_t_cell,26460,25.26955143
sample00075,104711,monocyte,15639,14.93539361
sample00075,104711,nk_cell,14983,14.30890737
sample00076,110097,b_cell,12385,11.24917119
sample00076,110097,cd4_t_cell,37340,33.91554720
sample00076,110097,cd8_t_cell,23764,21.58460267
sample00076,110097,monocyte,20907,18.98961825
sample00076,110097,nk_cell,15701,14.26106070
sample00077,105432,b_cell,9602,9.10729190
sample00077,105432,cd4_t_cell,42528,40.33689961
sample00077,105432,cd8_t_cell,18744,17.77828363
sample00077,105432,monocyte,17956,17.03088246
sample00077,105432,nk_cell,16602,15.74664239
sample00078,107869,b_cell,5623,5.21280442
sample00078,107869,cd4_t_cell,26856,24.89686564
sample00078,107869,cd8_t_cell,32983,30.57690347
sample00078,107869,monocyte,23663,21.93679370
sample00078,107869,nk_cell,18744,17.37663277
sample00079,99165,b_cell,5792,5.84077043
sample00079,99165,cd4_t_cell,32123,32.39348560
sample00079,99165,cd8_t_cell,32012,32.28155095
sample00079,99165,monocyte,18446,18.60132103
sample00079,99165,nk_cell,10792,10.88287198
sample00080,95727,b_cell,5519,5.76535356
sample00080,95727,cd4_t_cell,31007,32.39107044
sample00080,95727,cd8_t_cell,22834,23.85324934
sample00080,95727,monocyte,18917,19.76140483
sample00080,95727,nk_cell,17450,18.22892183
sample00081,93286,b_cell,9595,10.28557340
sample00081,93286,cd4_t_cell,31245,33.49377184
sample00081,93286,cd8_t_cell,18940,20.30315374
sample00081,93286,monocyte,18924,20.28600219
sample00081,93286,nk_cell,14582,15.63149883
sample00082,103389,b_cell,6068,5.86909633
sample00082,103389,cd4_t_cell,30549,29.54763079
sample00082,103389,cd8_t_cell,31190,30.16761938
sample00082,103389,monocyte,17682,17.10239968
sample00082,103389,nk_cell,17900,17.31325383
sample00083,88242,b_cell,7306,8.27950409
sample00083,88242,cd4_t_cell,23762,26.92822012
sample00083,88242,cd8_t_cell,23204,26.29586818
sample00083,88242,monocyte,17528,19.86355704
sample00083,88242,nk_cell,16442,18.63285057
sample00084,100815,b_cell,10469,10.38436741
sample00084,100815,cd4_t_cell,28340,28.11089620
sample00084,100815,cd8_t_cell,24997,24.79492139
sample00084,100815,monocyte,18881,18.72836383
sample00084,100815,nk_cell,18128,17.98145117
sample00085,102542,b_cell,13770,13.42864387
sample00085,102542,cd4_t_cell,26218,25.56805992
sample00085,102542,cd8_t_cell,32384,31.58120575
sample00085,102542,monocyte,12907,12.58703751
sample00085,102542,nk_cell,17263,16.83505295
sample00086,105610,b_cell,12479,11.81611590
sample00086,105610,cd4_t_cell,31475,29.80304895
sample00086,105610,cd8_t_cell,18340,17.36577976
sample00086,105610,monocyte,16664,15.77880882
sample00086,105610,nk_cell,26652,25.23624657
sample00087,91946,b_cell,5686,6.18406456
sample00087,91946,cd4_t_cell,26848,29.19974768
sample00087,91946,cd8_t_cell,21892,23.80962739
sample00087,91946,monocyte,25096,27.29428143
sample00087,91946,nk_cell,12424,13.51227895
sample00088,101732,b_cell,6883,6.76581607
sample00088,101732,cd4_t_cell,31277,30.74450517
sample00088,101732,cd8_t_cell,23831,23.42527425
sample00088,101732,monocyte,20748,20.39476271
sample00088,101732,nk_cell,18993,18.66964180
sample00089,107271,b_cell,14432,13.45377595
sample00089,107271,cd4_t_cell,31757,29.60445973
sample00089,107271,cd8_t_cell,23729,22.12061042
sample00089,107271,monocyte,22063,20.56753456
sample00089,107271,nk_cell,15290,14.25361934
sample00090,102290,b_cell,13492,13.18995014
sample00090,102290,cd4_t_cell,26759,26.15993743
sample00090,102290,cd8_t_cell,20490,20.03128361
sample00090,102290,monocyte,23448,22.92306188
sample00090,102290,nk_cell,18101,17.69576694
sample00091,102598,b_cell,4652,4.53420145
sample00091,102598,cd4_t_cell,33782,32.92656777
sample00091,102598,cd8_t_cell,30489,29.71695355
sample00091,102598,monocyte,15790,15.39016355
sample00091,102598,nk_cell,17885,17.43211369
sample00092,113429,b_cell,7510,6.62088179
sample00092,113429,cd4_t_cell,37137,32.74030451
sample00092,113429,cd8_t_cell,22955,20.23732908
sample00092,113429,monocyte,23268,20.51327262
sample00092,113429,nk_cell,22559,19.88821201
sample00093,109064,b_cell,8676,7.95496222
sample00093,109064,cd4_t_cell,33280,30.51419350
sample00093,109064,cd8_t_cell,22893,20.99042764
sample00093,109064,monocyte,16745,15.35337050
sample00093,109064,nk_cell,27470,25.18704614
sample00094,102270,b_cell,13462,13.16319546
sample00094,102270,cd4_t_cell,23802,23.27368730
sample00094,102270,cd8_t_cell,19888,19.44656302
sample00094,102270,monocyte,25885,25.31045272
sample00094,102270,nk_cell,19233,18.80610150
sample00095,93081,b_cell,4896,5.25993490
sample00095,93081,cd4_t_cell,17746,19.06511533
sample00095,93081,cd8_t_cell,29022,31.17929545
sample00095,93081,monocyte,27838,29.90728505
sample00095,93081,nk_cell,13579,14.58836927
sample00096,108158,b_cell,8717,8.05950554
sample00096,108158,cd4_t_cell,31047,28.70522754
sample00096,108158,cd8_t_cell,29369,27.15379352
sample00096,108158,monocyte,25516,23.59141256
sample00096,108158,nk_cell,13509,12.49006084
sample00097,100776,b_cell,11469,11.38068588
sample00097,100776,cd4_t_cell,25644,25.44653489
sample00097,100776,cd8_t_cell,25912,25.71247122
sample00097,100776,monocyte,26747,26.54104152
sample00097,100776,nk_cell,11004,10.91926649
sample00098,105304,b_cell,10482,9.95403783
sample00098,105304,cd4_t_cell,31326,29.74815771
sample00098,105304,cd8_t_cell,25543,24.25643850
sample00098,105304,monocyte,23494,22.31064347
sample00098,105304,nk_cell,14459,13.73072248
sample00099,107859,b_cell,12589,11.67171956
sample00099,107859,cd4_t_cell,30346,28.13487980
sample00099,107859,cd8_t_cell,30282,28.07554307
sample00099,107859,monocyte,16250,15.06596575
sample00099,107859,nk_cell,18392,17.05189182
sample00100,106648,b_cell,12923,12.11743305
sample00100,106648,cd4_t_cell,32069,30.06994974
sample00100,106648,cd8_t_cell,24732,23.19030830
sample00100,106648,monocyte,17589,16.49257370
sample00100,106648,nk_cell,19335,18.12973520
sample00101,100154,b_cell,18583,18.55442618
sample00101,100154,cd4_t_cell,23455,23.41893484
sample00101,100154,cd8_t_cell,28514,28.47015596
sample00101,100154,monocyte,17677,17.64981928
sample00101,100154,nk_cell,11925,11.90666374
sample00102,102212,b_cell,16339,15.98540289
sample00102,102212,cd4_t_cell,30765,30.09920557
sample00102,102212,cd8_t_cell,15936,15.59112433
sample00102,102212,monocyte,22541,22.05318358
sample00102,102212,nk_cell,16631,16.27108363
sample00103,109022,b_cell,8845,8.11304140
sample00103,109022,cd4_t_cell,40757,37.38419768
sample00103,109022,cd8_t_cell,29598,27.14864890
sample00103,109022,monocyte,20436,18.74484049
sample00103,109022,nk_cell,9386,8.60927152
sample00104,110049,b_cell,7005,6.36534635
sample00104,110049,cd4_t_cell,37678,34.23747603
sample00104,110049,cd8_t_cell,22323,20.28460050
sample00104,110049,monocyte,20200,18.35545984
sample00104,110049,nk_cell,22843,20.75711728
sample00105,97807,b_cell,10654,10.89288088
sample00105,97807,cd4_t_cell,27062,27.66877626
sample00105,97807,cd8_t_cell,20879,21.34714284
sample00105,97807,monocyte,24268,24.81213001
sample00105,97807,nk_cell,14944,15.27907001
sample00106,93933,b_cell,10373,11.04297744
sample00106,93933,cd4_t_cell,31487,33.52070093
sample00106,93933,cd8_t_cell,17211,18.32263422
sample00106,93933,monocyte,19680,20.95110345
sample00106,93933,nk_cell,15182,16.16258397
sample00107,102371,b_cell,17623,17.21483623
sample00107,102371,cd4_t_cell,41127,40.17446347
sample00107,102371,cd8_t_cell,22928,22.39696789
sample00107,102371,monocyte,10158,9.92273202
sample00107,102371,nk_cell,10535,10.29100038
sample00108,97245,b_cell,4983,5.12417091
sample00108,97245,cd4_t_cell,26215,26.95768420
sample00108,97245,cd8_t_cell,27559,28.33976040
sample00108,97245,monocyte,21483,22.09162425
sample00108,97245,nk_cell,17005,17.48676024
sample00109,104944,b_cell,13509,12.87257966
sample00109,104944,cd4_t_cell,37336,35.57706968
sample00109,104944,cd8_t_cell,20448,19.48467754
sample00109,104944,monocyte,14045,13.38332825
sample00109,104944,nk_cell,19606,18.68234487
sample00110,97311,b_cell,11477,11.79414455
sample00110,97311,cd4_t_cell,34048,34.98885018
sample00110,97311,cd8_t_cell,23447,24.09491219
sample00110,97311,monocyte,14957,15.37030757
sample00110,97311,nk_cell,13382,13.75178551
sample00111,102821,b_cell,15992,15.55324301
sample00111,102821,cd4_t_cell,35615,34.63786581
sample00111,102821,cd8_t_cell,23376,22.73465537
sample00111,102821,monocyte,12438,12.09675066
sample00111,102821,nk_cell,15400,14.97748514
sample00112,99754,b_cell,8100,8.11997514
sample00112,99754,cd4_t_cell,32544,32.62425567
sample00112,99754,cd8_t_cell,25296,25.35838162
sample00112,99754,monocyte,21547,21.60013634
sample00112,99754,nk_cell,12267,12.29725124
sample00113,108308,b_cell,8777,8.10374118
sample00113,108308,cd4_t_cell,33746,31.15743989
sample00113,108308,cd8_t_cell,28919,26.70070540
sample00113,108308,monocyte,26475,24.44417772
sample00113,108308,nk_cell,10391,9.59393581
sample00114,106352,b_cell,13741,12.92030239
sample00114,106352,cd4_t_cell,31383,29.50861291
sample00114,106352,cd8_t_cell,28857,27.13348127
sample00114,106352,monocyte,14283,13.42993080
sample00114,106352,nk_cell,18088,17.00767263
sample00115,92639,b_cell,5722,6.17666426
sample00115,92639,cd4_t_cell,29410,31.74688846
sample00115,92639,cd8_t_cell,23044,24.87505262
sample00115,92639,monocyte,19301,20.83463768
sample00115,92639,nk_cell,15162,16.36675698
sample00116,99836,b_cell,6304,6.31435554
sample00116,99836,cd4_t_cell,39506,39.57089627
sample00116,99836,cd8_t_cell,18835,18.86594014
sample00116,99836,monocyte,15765,15.79089707
sample00116,99836,nk_cell,19426,19.45791097
sample00117,93271,b_cell,8561,9.17863001
